concept	concept_name
C0205142	Rectangular
C0149561	Structure of anterior cerebral artery
C0016045	fibroma
C0045587	2,6-diaminopurine
C0009348	Collateral Circulation
C0085533	Chemotherapy, Adjuvant
C3669027	Bone structure of distal phalanx
C0340636	Internal iliac aneurysm
C0587267	Closed
C1334715	Metastatic carcinoid tumor
C0206699	Cystadenocarcinoma, Mucinous
C0205245	Functional
C3496374	frontal white matter
C1532565	Microunit
C0155930	Tooth Ankylosis
C0225358	Bladder Detrusor Muscle
C0226807	Structure of median basilic vein
C0026640	Mouth Neoplasms
C0599882	Melting
C1293131	Fusion procedure
C0009201	Cochlear Nerve
C0224433	Structure of quadratus femoris muscle
C3827420	Wrong
C1527284	Dental Pulp Stone
C4551716	Cryotherapy
C0156543	Unspecified Abortion
C1444775	Sharp sensation quality
C0281913	Swelling of skeletal muscle
C0457847	Segment of thoracic spinal cord
C2350621	Eumycetoma
C1837084	Short metacarpal
C0149952	Torsion of ovary
C1265659	Posterior dislocation
C0021900	Intrauterine Devices
C0556636	Gray unit of radiation dose
C0022245	isoproterenol
C0042514	Tachycardia, Ventricular
C0205248	Granular
C0737425	Right internal iliac vein
C1997138	Blunted
C0175731	T-tube
C0008520	Choroid
C1704640	Matrix Array
C0149782	Squamous cell carcinoma of lung
C0273115	Lung Injury
C0226731	Left branch of portal vein
C3898008	Palliative Radiation Therapy
C0588211	Bone structure of distal humerus
C3665420	Cervical Vertebrae
C0225931	Structure of septal leaflet of tricuspid valve
C1184808	Plexus
C0230436	Popliteal fossa structure
C0038018	Spondylolysis
C0455954	Doughnut burn
C0227668	Structure of left renal pelvis
C0265338	Coffin-Siris syndrome
C4293685	Deep cerebral white matter hyperdensities
C0226130	Structure of superficial temporal artery
C0242694	Soleus muscle structure
C0735427	Right hip bone
C0008484	Structure of chordae tendineae cordis
C0022663	Kidney Glomerulus
C4329681	Color Tissue Doppler Ultrasound Mode
C1996865	Postero-Anterior
C0475006	Intrahepatic hematoma
C0449964	Size of introducer
C0332158	Contact with
C1698986	Storage
C0242691	Gastrocnemius muscle structure
C0226711	Structure of left ovarian vein
C0507134	Cardiac shadow viewed radiologically
C0011119	Decompression Sickness
C0205096	Cephalic
C0227150	Dorsal pharyngeal wall structure
C1292733	Preventing (action)
C0025746	methylene blue
C0922665	Left superior rectus
C0265279	Kniest dysplasia
C0348072	Lateral meniscus structure
C0230373	Palmar surface
C0011443	Dentition
C0035619	Ventricular Outflow Obstruction, Right
C0013090	doxycycline
C1548787	Appropriate
C0917710	Hepatic Duct
C0011168	Deglutition Disorders
C0553891	Tracheal Extubation
C0504075	Anatomical landmark
C0149520	Acute Cholecystitis
C0231459	Internal rotation
C4551626	Unroofed coronary sinus
C0034063	Pulmonary Edema
C0055383	chloroacetamide
C0439690	Permeative
C0018932	Hematochezia
C0021880	Intracranial Pressure
C1514845	Renal Tissue
C0265903	Single coronary artery
C0179226	Basin
C1517938	Long Interspersed Elements
C0870432	Display - arrangement
C0031133	Peristalsis
C0264358	Cylindrical bronchiectasis
C0154839	Partial retinal artery occlusion
C0050178	buciclovir
C0221198	Lesion
C0030353	Papilledema
C0023467	Leukemia, Myelocytic, Acute
C1318543	Fibrous histiocytoma of tendon sheath
C0028880	Odontogenic Tumors
C0027741	Nerve Block
C0279756	Estrogen receptor negative
C0162861	Superior mesenteric artery structure
C0013987	Emotions
C0848337	gastric distention
C0222679	Structure of articular surface of bone
C0270612	Leukoencephalopathy
C3640814	Favorable
C0018067	Gonadal structure
C0023380	Lethargy
C0013922	Embolism
C0175191	Posterior Cingulate Cortex
C0180482	distractors
C0040578	Trachea
C0006767	Bone callus
C0447834	Structure of triangular fibrocartilage of wrist
C0259419	caspase-2
C1859461	Femoral bowing
C2960678	Periodontal Route of Administration
C1535976	Epiploic appendagitis
C0541315	everolimus
C2339871	Free wall of right ventricle
C0228426	Structure of tegmental portion of pons
C0575989	Long leg
C0015668	Fat necrosis
C0023216	Lower Extremity
C0023518	Leukocytosis
C0439534	Dimensions
C0205223	Encapsulated (qualifier value)
C1552961	point - UnitsOfMeasure
C0014544	Epilepsy
C0332454	disrupted
C0021670	insulinoma
C0006271	Bronchiolitis
C0025058	Structure of median nerve
C0036397	Science
C1510411	metaplastic cell transformation
C0205402	Prominent
C0439806	Gross (qualifier value)
C0736268	Liver parenchyma
C2733158	Cerebral Small Vessel Diseases
C0014860	Esophageal Perforation
C0226069	Left pulmonary artery
C1299586	Has difficulty doing (qualifier value)
C0683368	Symptoms aspect
C0036205	Sarcoidosis, Pulmonary
C0162385	Intertrochanteric Fractures
C0039082	Syndrome
C0542502	Iodination reaction
C0735760	Right inferior pubic ramus
C3829581	Hyperechoic Focus
C0004895	Beak
C1519453	Spiculate
C0333113	Sacculation
C0039245	tacrine
C0037935	Spinal fusion (procedure)
C0205326	Permeable
C0017129	gastric fundus
C0520561	Small intestinal hemorrhage
C0439639	Wedge
C0699036	Orbital
C0223651	Iliac crest structure
C0266070	Displacement of tooth
C2348970	High-Intensity Focused Ultrasound Ablation
C2347858	Conservation
C0225899	Myocardium of left ventricle
C0227676	Structure of minor calyx
C0205851	Germ cell tumor
C0179144	Arthroscopes
C0179720	Biliary catheter
C0205090	Right
C0040053	Thrombosis
C1705946	Coil Device
C0447106	Superficial femoral artery
C0745761	Nodule of liver
C2327364	Right hippocampus
C2911648	Multiplication
C0460977	Plaster
C0040451	Tooth Resorption
C3686502	Mucosal thickening
C0014084	Enchondromatosis
C0206732	Epithelioid hemangioendothelioma
C3821167	cyst wall
C1817254	muscle myosin complex
C0449774	Patterns
C0162589	Implantable defibrillator
C0303596	Yttrium-90
C0559227	Left lateral decubitus position
C0476171	Comminuted Fracture type
C0008838	cisplatin
C0016533	Forceps
C0009324	Ulcerative Colitis
C1334672	Mediastinal Neurogenic Neoplasm
C0302158	Leucocytic infiltrate
C0240310	Hypoplasia of the maxilla
C1116455	Structure of femoral vessel
C0746765	Mass of nose
C0237021	Complex ovarian cyst
C0010520	Cyanosis
C0229772	Structure of left gastric lymph node
C2828358	Lactating (finding)
C1266025	Traditional Serrated Adenoma
C0227033	Maxillary right second molar tooth
C2936204	Endovascular Procedures
C0043262	Wrist
C0221353	Horseshoe Kidney
C0029443	Osteomyelitis
C0225014	Structure of lateral sacrococcygeal ligament
C0825672	Base of metatarsal
C0332582	Dark color
C0018889	Helminthiasis
C0232495	Lower abdominal pain
C0206078	Diskectomy
C0458098	Midclavicular line
C1135135	erlotinib
C0039421	Technology
C2674853	Subperiosteal bone formation
C1333134	Compact Pattern
C0138741	Prostate-Specific Antigen
C0334067	Non-Ossifying Fibroma
C1253936	Hydrarthrosis
C0242696	Diaphyses
C0184165	Tubing
C0439834	Slow
C0342500	Adrenal mass
C4551858	Vesicoureteral Reflux 1
C1513269	Microcyst
C1513371	Mode
C0023055	Laryngeal neoplasm
C0004749	barium
C0270549	Generalized Anxiety Disorder
C0005937	Bone Cysts
C0521620	Dilatation of ureter
C3149269	Bullous disease
C0333547	Multiple infarcts
C0071097	pioglitazone
C0021815	Intervertebral disc structure
C0205373	Systemic
C0023891	Liver Cirrhosis, Alcoholic
C0932003	Right parietal part of head
C0240114	Knee flexion
C0929231	Left lower lung field
C0224395	External anal sphincter structure
C4552787	Endorectal Coil
C0029433	Osteogenesis
C4293695	Rectovestibular fistula
C0026266	Mitral Valve Insufficiency
C0228175	Right cerebral hemisphere
C0038215	Science of Statistics
C1861329	Spinal canal stenosis
C0223667	Structure of superior ramus of pubis
C0238218	Tear of meniscus of knee
C0034052	Pulmonary artery structure
C0340030	Pleural plaque
C0151739	Perforation of small intestine
C0152021	Congenital heart disease
C0026973	Myelin Sheath
C0010695	Cystocele
C0444667	Whole
C0009516	Complement component C4
C0224435	Adductor muscle of hip, unspecified
C0086120	Dentate nucleus
C0282082	Gluteal Region
C0444454	Access
C0010090	Corpus Callosum
C0230463	Sole of Foot
C0565460	Bone reconstruction
C1451819	Upper Esophageal Sphincter
C3541347	Distal Left Anterior Descending Artery
C0014511	Epithelial cyst
C0870904	mirror image
C0678212	Herniation of nucleus pulposus
C2827628	Imaging Region of Interest
C0475277	Small tumor
C0034001	Structure of pterygoid muscle
C0032740	Positive End-Expiratory Pressure
C0205293	Multiloculated
C0021431	Infrared Rays
C3495808	Subchorionic hematoma
C0346306	Pituitary microadenoma
C0227590	Tail of pancreas
C2332632	Occipital horn of right lateral ventricle
C0005898	Body Regions
C0014122	Subacute Bacterial Endocarditis
C0015982	Fibrin
C0010068	Coronary heart disease
C0039751	Theft
C0205391	Widespread
C0014243	Endoscopes
C0225957	Structure of anulus fibrosus of aorta
C3277934	Anomalous
C0228398	Central gray substance of midbrain
C4086504	Hypoattenuation
C0392014	Trachea displaced
C0023660	lidocaine
C0026369	Structure of wisdom tooth
C0442135	Paracolic
C0005934	Bone Cements
C0504055	Anterior wall of left ventricle
C0848128	Body Piercing
C2957717	Maintenance of drainage tube (procedure)
C1183546	Right side of chest
C0333509	Liquefactive necrosis
C0260832	Unspecified follow-up examination
C0683278	Mental Suffering
C4551585	Coronal plane
C1969144	Renal cortical cysts
C0043539	Zygomatic bone
C0227514	Portal triad
C2126187	Lump in right breast
C0040836	Burr hole procedure
C0241442	Protrusion of tongue
C0267964	Pancreatic acinar atrophy
C0205135	Extra-articular
C0229257	Structure of left upper eyelid
C0034186	Pyelonephritis
C0226049	Structure of conus artery
C0392108	Pulmonary venous thrombosis
C3805325	Serpentine fibula
C0309093	FLAIR (product)
C0520453	Cannula device
C0009186	Coccidioidomycosis
C0524799	Lung, Hyperlucent
C0013295	Duodenal Ulcer
C0034770	Mental Recall
C1265766	Thrombosed aneurysm
C0000833	Abscess
C0442179	Retrosternal
C0230370	Structure of right hand
C0205108	Distal (qualifier value)
C0227364	Appendix Epiploica
C0016330	fluorine
C0227701	Posterior wall of urinary bladder
C0269102	Endometrioma
C1882074	Neutral pH
C2347883	Radio Frequency
C0266283	Ectopic thyroid tissue (disorder)
C0526532	cinobufotalin
C0301571	Liquid diet
C1290905	Discrepancy (finding)
C0001625	Adrenal Glands
C0223548	Intervertebral disc structure of fourth lumbar vertebra
C0332442	No pathologic diagnosis
C0230003	Vertex
C0700292	Hypoxemia
C0016641	Fracture Fixation
C0229581	Structure of right lobe of thyroid gland
C1563016	Lumbolumbar lordotic angle
C2825184	Implantable Cardioverter-Defibrillator Placement
C0039316	Tarsal Bones
C0923940	Left vestibulocochlear nerve
C0037189	Sinoatrial Node
C0449379	Connection
C0440137	Filling material
C0230361	Structure of left forearm
C0227617	Structure of fatty capsule of kidney
C0042345	Varicosity
C0185027	Imbrication (procedure)
C0030785	Pelvic abscess
C0227051	Maxillary left first molar
C0024115	Lung diseases
C0002978	angiogram
C0182021	Obturators
C0495285	Deliveries by destructive operation
C1112565	Pneumatosis Intestinalis
C0303029	iodine I-131
C0282514	Ilizarov Technique
C0237962	Retroperitoneal abscess
C4048328	cervical cancer
C0266491	Neuronal heterotopia
C0019004	Hemodialysis
C0015672	Fatigue
C0149887	Slipped Capital Femoral Epiphyses
C1844846	Stippled calcification in carpal bones
C0011460	Denture, Partial
C0017639	Gliosis
C0745188	Chronic hypoxemia
C0025962	Microcirculation
C0007787	Transient Ischemic Attack
C0023217	Leg Bones
C0085430	Blood Component Transfusion
C2699787	Disturbance
C0033036	Atrial Premature Complexes
C3810196	Bony destruction
C0017112	Noble Gases
C1513155	Mesorectal
C0180479	Dissector
C4315130	Hippocampal atrophy
C0223947	Navicular Bone of Foot
C2825185	Lead Extraction
C0181209	Hook
C0940747	Pancreatic Duct Stenosis
C1265741	Multiple calculi
C0179799	Ureteral Catheters
C0224444	Structure of vastus lateralis muscle
C0333361	Acute inflammation
C0431890	Hypoplasia of thumb
C0225784	Left pleura
C1184906	Sheath of styloid process
C0034196	Pylorus
C0228739	Structure of mental nerve
C0265950	Venous malformation
C0280604	altretamine/cisplatin/cyclophosphamide protocol
C0035397	Rewards
C1176020	sunitinib
C1879982	Calcified Medical Device Material
C0226633	Structure of internal thoracic vein
C0589371	Transanal approach
C0026269	Mitral Valve Stenosis
C0039591	Pain in testicle
C1145670	Respiratory Failure
C2985560	Radioembolization
C0332195	Posterolateral
C4476637	Peribronchovascular interstitial thickening
C2328510	Interstitium
C0442311	1 o'clock position
C0230719	Z line
C1881601	Malposition of Medical Device
C0227952	Foreskin of penis
C0443193	Convergence - direction
C0333582	Dystrophic calcification
C0582819	Inferior rectus muscle structure
C0522497	Transmural
C0264490	Acute respiratory failure
C0085280	Alagille Syndrome
C0675788	Eovist
C0038009	Splint Device
C1866207	Dysplastic aortic valve
C0226184	Ethmoidal artery
C0750122	valsalva
C0013481	Ebstein Anomaly
C0022100	Irrigation
C0205436	second (number)
C2827725	Posteroanterior Orientation
C1302271	Parasternal short axis view at the aortic valve level
C0238436	Fracture of sternum
C0013470	Eating
C0344583	Cor triloculare
C0004057	aspirin
C0024031	Low Back Pain
C0205463	Physiological
C0230445	Structure of calf of leg
C0227980	Structure of left seminal vesicle
C0231456	Abduction, function
C0431420	Vein of Galen aneurysm
C2936350	Plaque, Atherosclerotic
C0238792	Bone lesion
C0019134	heparin
C0701159	Patient in hospital
C0222769	Jugular notch of sternum
C0085162	Pancreaticoduodenectomy
C0403382	Emphysematous pyelitis
C0501122	Left brachiocephalic vein
C0036525	Metastatic to
C1266913	Bone flap
C1704532	Active Method
C4478244	Hypoplastic right ventricle
C0150627	Guided imagery
C0489796	Left brachial artery
C0021234	indocyanine green
C0227579	Head of pancreas
C1856087	Biconcave vertebral bodies
C4761377	Spiculated Nodule
C0014591	Epistaxis
C0595960	Continuity
C0015825	Labyrinth fenestration
C0332304	With laterality
C0239783	Inguinal pain
C2063737	Supravalvular Pulmonary Artery Stenosis
C0432562	Malignant lymphoma of spleen
C0040184	Bone structure of tibia
C1704414	Valve Device
C0225317	soft tissue
C0441650	Closure by wire
C0220697	POLYDACTYLY, POSTAXIAL
C0037886	Sphenoid Sinusitis
C0152191	Scotoma, Central
C0475371	T0 stage
C0042068	Urografin 76
C1854114	Short nose
C1277629	Mass of parotid gland
C0448196	Structure of medial condyle of femur
C0723285	Septa
C1744544	Structure of medial globus pallidus
C0027721	Lipoid nephrosis
C0227470	Structure of right submaxillary gland
C0006147	Breast Feeding
C0205161	Abnormal
C0281883	Pertrochanteric fracture
C0427896	Crystal - human material
C0262950	Skeletal bone
C0443254	Mechanical Methods
C0443264	Modulated
C0021818	Intervertebral Disk Displacement
C1517526	Geographic
C0032611	polytetrafluoroethylene
C0206682	Follicular thyroid carcinoma
C0694634	Intra-arterial location
C0007009	Carbon
C0040126	Thyroid cartilage structure
C0206687	Carcinoma, Endometrioid
C0443327	Tricuspid
C0020542	Pulmonary Hypertension
C0924186	Right superior ophthalmic vein
C1695776	Vertebral wedging
C4014106	Abscess formation
C3552971	Subependymal calcifications
C0224301	Structure of erector spinae muscle
C0002708	Amygdaloid structure
C0205283	Contiguous
C1831796	pazopanib
C0230171	Flank (surface region)
C0230073	Posterior triangle of neck
C0233520	Destructive behavior
C0333044	Posterior displacement
C3203360	Suppuration
C0018599	Hardness
C0069673	osteoclast activating factor
C0061078	gamma-linolenic acid
C0205271	Irregular
C0007018	carbon monoxide
C0010038	Corneal Opacity
C0034193	Pyloric antrum
C0181390	CONTAINER, I.V.
C1517945	Loss
C2717762	Septal Occluder Device
C2126192	Lump in left breast
C0473586	Michelin tire baby syndrome
C1513302	Mild Adverse Event
C0024093	Lumbosacral plexus structure
C0745673	Left atrial mass
C0752151	Thoracic Surgery, Video-Assisted
C0011320	Dens in Dente
C0026131	Milk (body substance)
C2939175	Meconium ileus
C0447559	Ventral pancreatic duct
C0585574	Pectoralis major muscle structure
C1567041	Metapex
C0006840	Candidiasis
C0265695	Congenital fusion of ribs
C0030847	Penile Erection
C0332161	Attenuated by (contextual qualifier)
C0448353	Paraspinal Muscles
C4527149	Intermediate Atypical Prostate Carcinoma
C0205221	Disseminated
C4684445	Delineate
C0006098	Brachytherapy
C3686730	Region of tail
C1842083	Abnormality of the ribs
C0221434	Bony sclerosis
C0559546	Adverse reactions
C1999075	Blood Flow Rate
C4021133	Left ventricular noncompaction cardiomyopathy
C0740577	Acute abdominal pain
C0226331	Structure of superior rectal artery
C4304914	Symmetrical thalamic calcification
C3808580	Situs solitus
C0162406	Structure of inferior alveolar nerve
C0456955	Structure of high right atrium
C0267628	Rupture of appendix
C0242485	Measurement
C0012737	Tissue Dissection
C0205348	Sessile
C0227344	Structure of retrocecal appendix
C0332534	Induration
C0228847	Structure of long thoracic nerve
C0443290	Reversal
C2986846	Standardized Uptake Value Maximum
C0039297	tantalum
C0816699	Trochlear Notch
C1268935	Congenital Thrombotic Thrombocytopenic Purpura
C0700042	Orbital region
C0015306	Hereditary Multiple Exostoses
C0008524	Structure of choroid plexus
C0086045	Mental concentration
C0441730	Type 2
C0442117	Intramuscular
C0687150	Parathyroid Gland Adenocarcinoma
C1561251	Neck soft tissue necrosis
C0031024	Suppurative Periapical Periodontitis
C0040440	Tooth Extraction
C0737386	Right internal pudendal artery
C0400447	Orthotopic liver transplant
C0223632	Structure of neck of scapula
C0010384	Prostheses, Dental, Fixed, Crown, Total, Temporary
C0005839	Blood supply aspects
C0149521	Pancreatitis, Chronic
C0817096	Chest
C0229671	Serum
C0446432	Level of the first lumbar vertebra
C0582833	Iliolumbar ligament
C0226611	Structure of superior ophthalmic vein
C0577053	Lesion of liver
C2349205	On examination - heart normal (finding)
C0230206	Visceral Peritoneum
C0824856	Metaphysis of femur
C0158761	Radioulnar Synostosis
C0226706	Structure of right hepatic vein
C0011892	heroin
C0036394	Structure of sciatic nerve
C0733975	Segment of large intestine
C0018827	Heart Ventricle
C0857379	Abnormality of the pinna
C1299346	Poststenotic dilatation
C1521726	partial response
C1516151	Callback
C0564755	Acute perforated appendicitis
C0175735	Scissors (device)
C0008297	Choanal Atresia
C0039225	Tablet Dosage Form
C0005516	Biological Markers
C0036690	Septicemia
C0181691	vascular loops
C0205295	Myxoid
C0065829	measles, mumps, rubella, varicella vaccine
C0009806	Constipation
C0226245	Structure of anterior inferior cerebellar artery
C0086596	Medial geniculate body
C1856637	Spatulate ribs
C0205157	Remote
C3263722	Traumatic AND/OR non-traumatic injury
C0588193	Bone structure of shaft of femur
C0003516	Aortopulmonary Septal Defect
C0181956	Acupuncture needle
C0192861	Right colectomy
C0025080	Medical Devices
C2697904	Left Anterolateral Segment
C0771377	Spleen Tissue
C0500531	Right internal mammary artery
C0490617	CATHETER, PERCUTANEOUS
C0014118	Endocarditis
C3811894	Pixels per Inch
C0185181	Myotomy
C0042460	Vena cava structure
C0229754	Paratracheal lymph node group
C0158266	Intervertebral Disc Degeneration
C0813207	Creation of shunt
C0929167	Apical zone of right lung
C0543481	Hypoplastic
C0162870	Iliac Aneurysm
C0745522	Size of kidney
C0444914	Domed
C0546816	Persistence
C0029927	Ovarian Cysts
C5139174	Parenchymal consolidation
C0162575	Embolectomy
C0333145	Hemorrhagic cyst
C0151514	Atrophic condition of skin
C0018246	Inguinal region
C0205133	Bent
C1542147	Main
C0230321	Left iliac region
C0206187	Bile Ducts, Extrahepatic
C0205216	Decreased
C0230446	Both lower legs
C0059954	exophthalmos producing substance
C1710579	Upper Jaw Incisor
C0277814	Sitting position
C0005978	Bone Wires
C0553566	Paramolar
C0341512	Retroperitoneal hematoma
C0080310	Left Ventricular Function
C0005401	Intrahepatic bile duct
C0225818	Structure of right margin of heart
C4525764	Lead Site Axial
C2986479	Healthy Control
C0221874	spacer device
C0456962	Rapid
C0019077	Hemopneumothorax
C0546334	Left pneumothorax
C0868908	pancolitis
C0332162	Onset of (contextual qualifier)
C0009226	coenzyme A
C1261100	Second toe structure
C0230185	Epigastrium
C0439214	femtogram
C1409894	Sphincter
C0021724	Structure of intercostal muscle
C0240225	Liver mass
C0343166	Knee joint effusion
C0678026	Antifungal therapy
C0013491	Ecchymosis
C0040508	Total Hip Replacement (procedure)
C0010957	Tissue damage
C0005961	Bone Marrow Transplantation
C0035124	Reperfusion Therapy
C4330494	Intracanalicular Route of Administration
C0449297	Clearance
C0816440	Supraspinous fossa
C1325774	Gram-negative-bacterium-type cell wall
C0226398	Structure of external iliac artery
C0850149	Dry cough
C1533685	Injection procedure
C4725654	Catheter Working Length
C0521440	Epigastric
C1710496	Turquoise
C1303192	Vertebroplasty
C0449709	Site of stricture
C2911683	Dual Chamber Pacemaker (device)
C0000696	A Fibers
C0205255	Imprisonment (finding)
C0205128	Vertical
C0036760	Serous Membrane
C0806140	Flow
C0439634	Formations
C1322797	Covered Stent
C0235328	Obstruction of colon
C1710632	Vessel perforation
C0230071	Structure of carotid triangle
C0225002	Structure of alar ligaments
C0344947	Ventricular septal defect between left ventricle and right atrium
C2931004	Congenital disorder of glycosylation type 1J
C0920762	Vascular blood supply
C0159667	Fracture of scapula
C0746412	Palpable mass
C0225926	Structure of anulus fibrosus of tricuspid orifice
C0262926	Medical History
C0397761	Embolization of hepatic artery
C0734005	Wall of cecum
C3272735	Small Cell Component Present
C1847397	Global systolic dysfunction
C0459414	Central cord canal structure
C5200821	Congenital Biliary Dilatation
C0029373	Lateral tubercle of talus
C1444207	Structure of enthesis
C4022601	Cystic artery pseudoaneurysm
C1850259	Short tibia
C0272567	Fracture of multiple ribs
C0332447	Morphologically abnormal structure (morphologic abnormality)
C4476639	Ground-glass opacification on pulmonary HRCT
C0580781	Structure of apex of left ventricle
C0189476	Insertion of pleural tube drain
C1179851	Posterosuperior
C0021079	Therapeutic immunosuppression
C0225756	Structure of upper lobe of lung
C0232804	Renal function
C0226383	Structure of internal pudendal artery
C0600472	Long Interspersed Nucleotide Element-1
C0029405	Osteitis Fibrosa Cystica
C0033422	Prone Position
C0595454	Intracoronary Route of Drug Administration
C0030252	Palpitations
C0241910	Autoimmune Chronic Hepatitis
C0230097	Structure of waist (surface region)
C1714000	gadoxetate disodium
C0225809	Left side of heart
C0155742	Aneurysm of renal artery
C0687118	Detached
C4522138	Device Migration Problem
C1335475	Non-Metastatic Carcinoma
C1517068	Extranodal Disease
C0266645	Situs inversus thoracis
C0441971	Metastasis stage M1
C1178871	Structure of left buttock
C0002382	Alveolar Bone Loss
C0242350	Erectile dysfunction
C1517911	Liver Acinus Zone 1
C1334450	Lung Meningioma
C4477052	Distal femoral metaphyseal irregularity
C0443294	Ruptured behavior
C0227814	Structure of horn of uterus
C0040476	Tornadoes
C0458696	Peripheral zone of prostate
C4520843	Pterygium of eye
C0237881	Statistical Significance
C0192499	Esophagogastric fundoplasty
C0227059	Mandibular left second premolar tooth
C1517058	Extrahepatic
C0222670	Apophysis
C2986831	Transaxial Plane
C0522644	Embolization coil
C1515009	Subcarinal
C1515441	Thyroid Gland Tissue
C0185010	Closure by clip procedure
C0010468	Curettage procedure
C0175672	Transvaginal approach
C0205154	Along edge (qualifier value)
C0041956	Ureteral obstruction
C0063264	Cisplatin/Doxorubicin/Ifosfamide protocol
C0458348	Vertical plane
C0009081	Congenital clubfoot
C0228465	Cerebellar hemisphere structure
C0018870	Heel
C1852504	Misalignment of teeth
C0162542	Fracture Healing
C0441247	Conduit implant
C0431126	Palisaded encapsulated neuroma
C0442287	Oblique projection
C2825203	Mechanical Aortic Valve
C0205945	Sarcoma, Spindle Cell
C0011860	Diabetes Mellitus, Non-Insulin-Dependent
C0457143	Couinaud hepatic segment VI
C3872566	Obstructive lesion
C0184159	Tracheostomy tube
C1522449	Therapeutic radiology procedure
C0032143	alteplase
C0439744	Concentric
C0002448	Ameloblastoma
C0226661	Structure of small cardiac vein
C0205120	Square shape
C0020507	Hyperplasia
C0456598	Stage 3A
C1179848	Posteromedial
C0038565	Subphrenic Abscess
C0016873	Fused Teeth
C4042900	Morcellation
C0796121	Primrose syndrome
C0003892	Neurogenic arthropathy
C4331402	Temporooccipital
C0008928	Cleidocranial Dysplasia
C0228207	RIght parietal lobe structure
C0238463	Papillary thyroid carcinoma
C0701805	Loose body
C0226378	Structure of uterine artery
C0205360	Stable status
C1739768	rivaroxaban
C1947977	Ellipse (shape)
C3658298	External Lateral Ligament
C1739395	Takotsubo Cardiomyopathy
C0000846	Agenesis
C0042961	Intestinal Volvulus
C0344616	Congenitally Corrected Transposition of the Great Arteries
C0150798	Suprapubic catheter
C0226401	Structure of inferior epigastric artery
C0960371	PRSS1 protein, human
C0037855	Spermatic Cord
C0006114	Cerebral Edema
C4477098	Pulmonary venous hypertension
C0014175	Endometriosis
C0220620	Gastrointestinal Carcinoid Tumor
C0156312	Atrophy of testis
C0445242	Structure of apex of right ventricle
C4331911	M-Mode Ultrasound Mode
C0026724	Mucous Membrane
C0013845	Electron Spin Resonance Spectroscopy
C0034104	Pulpotomy
C0223598	Structure of first sacral vertebra
C0506973	Wall of main bronchus
C4527152	Tricuspid Valve Regurgitation Velocity
C0073980	salicylhydroxamic acid
C0332759	Depressed fracture
C3495559	Juvenile arthritis
C0476486	Generalized enlarged lymph nodes
C0746117	lung left lung mass
C0038917	Surgical Clips
C0013990	Pathological accumulation of air in tissues
C1705294	Sequential
C0008565	Liquid Chromatography
C3272266	Thrombolysis in Myocardial Infarction Flow
C0155760	Rupture of artery
C1405128	Pleural fistula
C0448966	Body of graft
C0226306	Structure of left branch of hepatic artery
C1572572	FLUDEOXYGLUCOSE
C4727074	Intracranial Extension
C0231451	Hyperextension
C0030200	Pain, Intractable
C0024441	Macular Holes
C4245386	Lateral articular surface region of proximal epiphysis of tibia
C1269644	Normal anatomy
C0227486	Left lobe of liver
C0559987	Entire tendon of subscapularis muscle
C0341698	Atrophy of kidney
C1708760	Lowest
C0223537	Fourth lumbar vertebra
C0206327	Structure of ligamentum flavum
C0522503	Translucent
C2698267	Mucous Thread Measurement
C0001883	Airway Obstruction
C0005938	Bone Density
C0019554	Hip Dislocation
C0473935	Radiolabeled somatostatin analog study
C1704497	Symphyseal Shear
C0392918	Topography Axis
C1867114	Craniofacial disproportion
C0225894	Structure of trabecula septomarginalis
C0226208	Structure of callosal branch of anterior cerebral artery
C0733984	Anterior surface of stomach
C0042930	Vocal cord structure
C0205039	Bronchial
C0009439	Choledochal Cyst, Type I
C0162577	Angioplasty
C0052148	cisplatin/doxorubicin/vindesine protocol
C0439816	Tightness sensation quality
C0238047	Cecal volvulus
C0332246	Sliding
C0230459	Hindfoot (body structure)
C0457846	Cervical segment of spinal cord
C0520562	Dilatation of intestine
C1883164	Stanford V Regimen
C0033573	Prostatectomy
C0025361	Mental Processes
C0008913	Bone structure of clavicle
C0332620	Redistribution
C0442818	Raised
C0224194	Structure of genioglossus muscle
C0224284	Structure of extensor pollicis brevis muscle
C0222681	Structure of epicondyle
C0162522	Cholecystectomy, Laparoscopic
C0441256	DCP plate
C0016732	Frontal bone structure
C0158371	Acute osteomyelitis
C0027045	Myocardial Contraction
C0581385	Calcified lymph nodes
C0182400	Probes
C0026132	Milk Ejection
C0341492	Pancreatic duct calculus
C0447557	Main pancreatic duct
C0041637	Umbilical vein
C0087086	Thrombus
C1517059	Extraluminal Route of Drug Administration
C0028783	Structure of obturator nerve
C0221725	Bronchial Obstruction
C4055127	Dislodged Catheter
C0737387	Left internal pudendal artery
C2953246	Parietal lumbar lymph node group
C2322990	Dorsal pancreas
C0549113	Supraaortic valve area structure
C0205147	regional
C4476692	Dermatomal
C0226463	Left popliteal artery
C0444706	Measured
C0333484	Fatty streaks
C0923406	Right posterior communicating artery
C0158779	Cervical rib
C0443203	Distant
C0226801	Structure of basilic vein
C0008034	Chest Tubes
C0441613	Open repair of zygomatic fracture
C0729594	Axillary lymph node group
C1550319	Vault
C0729595	Pelvic lymph node group
C0016037	Fibrodysplasia Ossificans Progressiva
C0238495	Retrocaval Ureter
C0031001	Perfusion (procedure)
C0241863	diabetic
C0588209	Bone structure of proximal humerus
